GEOID,NAME,variable,B08121_001_estimate,B08121_001_moe,Total_Worked_At_Home_estimate,Total_Worked_At_Home_021_moe,Total_Married_Couple_Family_estimate,Total_Married_Couple_Family_moe,Total_PopOneRace_White_estimate,Total_PopOneRace_White_moe
42101021900,"Census Tract 219, Philadelphia County, Pennsylvania",B08121_001,52554,7531,57,32,266,44,1335,125
42101022000,"Census Tract 220, Philadelphia County, Pennsylvania",B08121_001,70221,23923,5,7,356,55,1343,187
42101023100,"Census Tract 231, Philadelphia County, Pennsylvania",B08121_001,75859,10026,42,23,351,41,1328,114
42101023500,"Census Tract 235, Philadelphia County, Pennsylvania",B08121_001,50391,4942,41,30,255,57,758,210
42101023600,"Census Tract 236, Philadelphia County, Pennsylvania",B08121_001,50412,6035,63,42,455,94,1505,238
42101023700,"Census Tract 237, Philadelphia County, Pennsylvania",B08121_001,42009,7819,222,183,702,142,1508,212
42101023800,"Census Tract 238, Philadelphia County, Pennsylvania",B08121_001,42460,4822,143,115,492,105,1198,328
42101023900,"Census Tract 239, Philadelphia County, Pennsylvania",B08121_001,27440,15699,9,15,131,75,441,134
42101024000,"Census Tract 240, Philadelphia County, Pennsylvania",B08121_001,32224,5.00E+03,61,45,278,84,1237,257
42101024100,"Census Tract 241, Philadelphia County, Pennsylvania",B08121_001,32188,14910,20,18,82,34,346,130
42101024200,"Census Tract 242, Philadelphia County, Pennsylvania",B08121_001,35833,8776,24,27,304,102,369,206
42101024300,"Census Tract 243, Philadelphia County, Pennsylvania",B08121_001,27969,6345,31,38,273,87,520,198
42101024400,"Census Tract 244, Philadelphia County, Pennsylvania",B08121_001,28530,4430,118,90,233,77,193,115
42101024500,"Census Tract 245, Philadelphia County, Pennsylvania",B08121_001,20469,8292,97,80,141,67,317,203
42101024600,"Census Tract 246, Philadelphia County, Pennsylvania",B08121_001,18584,2492,18,28,83,50,271,152
42101024700,"Census Tract 247, Philadelphia County, Pennsylvania",B08121_001,19637,2343,47,34,193,83,281,146
42101024800,"Census Tract 248, Philadelphia County, Pennsylvania",B08121_001,33333,12506,20,28,209,66,37,26
42101024900,"Census Tract 249, Philadelphia County, Pennsylvania",B08121_001,24709,3286,2,4,132,56,30,23
42101025200,"Census Tract 252, Philadelphia County, Pennsylvania",B08121_001,23859,2473,52,93,541,142,512,199
42101025300,"Census Tract 253, Philadelphia County, Pennsylvania",B08121_001,32794,6983,88,72,278,70,180,88
42101025400,"Census Tract 254, Philadelphia County, Pennsylvania",B08121_001,39668,4094,94,59,554,121,450,117
42101025500,"Census Tract 255, Philadelphia County, Pennsylvania",B08121_001,36905,12079,106,57,445,57,837,147
42101025600,"Census Tract 256, Philadelphia County, Pennsylvania",B08121_001,47145,13805,44,33,432,89,1475,171
42101025700,"Census Tract 257, Philadelphia County, Pennsylvania",B08121_001,40664,4588,61,40,497,108,1720,316
42101025800,"Census Tract 258, Philadelphia County, Pennsylvania",B08121_001,42386,4097,10,15,248,46,67,45
42101025900,"Census Tract 259, Philadelphia County, Pennsylvania",B08121_001,32013,8253,67,67,541,146,35,40
42101026000,"Census Tract 260, Philadelphia County, Pennsylvania",B08121_001,29083,15866,42,33,462,111,145,99
42101026100,"Census Tract 261, Philadelphia County, Pennsylvania",B08121_001,28974,6053,27,25,373,110,147,126
42101026200,"Census Tract 262, Philadelphia County, Pennsylvania",B08121_001,30802,4386,62,64,487,131,68,59
42101026301,"Census Tract 263.01, Philadelphia County, Pennsylvania",B08121_001,31054,6448,16,21,354,99,18,19
42101026302,"Census Tract 263.02, Philadelphia County, Pennsylvania",B08121_001,30560,3922,19,30,578,143,98,82
42101026400,"Census Tract 264, Philadelphia County, Pennsylvania",B08121_001,26937,4169,0,14,554,197,83,100
42101026500,"Census Tract 265, Philadelphia County, Pennsylvania",B08121_001,24484,4689,23,27,314,96,93,60
42101026600,"Census Tract 266, Philadelphia County, Pennsylvania",B08121_001,25669,4026,81,67,714,166,23,34
42101026700,"Census Tract 267, Philadelphia County, Pennsylvania",B08121_001,30771,5656,50,75,562,194,42,41
42101026800,"Census Tract 268, Philadelphia County, Pennsylvania",B08121_001,32869,6604,97,89,389,100,281,127
42101026900,"Census Tract 269, Philadelphia County, Pennsylvania",B08121_001,30377,4578,13,12,261,44,483,89
